,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price,prev_sold_year,latitude,longitude,county
79,3.0,2.0,0.04,8016.0,1448.0,2014-09-16,130000.0,2014,40.069522,-74.824196,9
81,3.0,2.0,0.17,8016.0,1480.0,2017-06-28,299900.0,2017,40.069522,-74.824196,9
83,3.0,3.0,0.14,8016.0,1895.0,2018-11-29,389000.0,2018,40.069522,-74.824196,9
84,6.0,2.0,0.22,8016.0,2552.0,2015-04-23,259900.0,2015,40.069522,-74.824196,9
85,3.0,3.0,0.27,8016.0,2208.0,1994-09-14,410000.0,1994,40.069522,-74.824196,9
86,3.0,1.0,0.11,8016.0,1308.0,2018-01-30,245000.0,2018,40.069522,-74.824196,9
87,3.0,2.0,0.09,8016.0,1248.0,2014-11-06,230000.0,2014,40.069522,-74.824196,9
88,4.0,3.0,0.29,8016.0,2085.0,2000-01-04,451000.0,2000,40.069522,-74.824196,9
89,3.0,3.0,0.06,8016.0,1980.0,1995-07-12,349900.0,1995,40.069522,-74.824196,9
91,3.0,4.0,0.11,8016.0,1886.0,2019-09-12,305000.0,2019,40.069522,-74.824196,9
92,3.0,1.0,0.03,8016.0,1269.0,1992-11-12,107000.0,1992,40.069522,-74.824196,9
93,3.0,2.0,0.19,8016.0,1842.0,1999-10-13,299900.0,1999,40.069522,-74.824196,9
94,3.0,2.0,0.81,8016.0,1554.0,2018-11-15,299000.0,2018,40.069522,-74.824196,9
96,4.0,1.0,0.23,8016.0,1685.0,2007-02-16,249900.0,2007,40.069522,-74.824196,9
97,4.0,3.0,0.22,8016.0,2096.0,2004-12-29,475000.0,2004,40.069522,-74.824196,9
98,4.0,3.0,0.19,8016.0,2380.0,2019-03-21,450000.0,2019,40.069522,-74.824196,9
99,4.0,3.0,0.13,8016.0,1840.0,2019-04-03,328000.0,2019,40.069522,-74.824196,9
100,4.0,1.0,0.28,8016.0,1176.0,2018-09-25,149900.0,2018,40.069522,-74.824196,9
101,4.0,1.0,0.1,8016.0,1291.0,2021-11-22,199000.0,2021,40.069522,-74.824196,9
102,3.0,1.0,0.08,8016.0,1412.0,2021-09-16,265000.0,2021,40.069522,-74.824196,9
103,3.0,2.0,0.13,8016.0,1286.0,1995-06-12,375000.0,1995,40.069522,-74.824196,9
105,3.0,2.0,0.22,8016.0,1198.0,2005-09-29,250000.0,2005,40.069522,-74.824196,9
106,5.0,2.0,0.04,8016.0,1694.0,2021-04-17,199900.0,2021,40.069522,-74.824196,9
107,3.0,3.0,0.35,8016.0,2268.0,2013-01-29,400000.0,2013,40.069522,-74.824196,9
108,4.0,1.0,0.03,8016.0,1726.0,2016-05-02,70000.0,2016,40.069522,-74.824196,9
109,2.0,1.0,0.04,8016.0,1120.0,2007-05-22,120000.0,2007,40.069522,-74.824196,9
110,3.0,1.0,0.07,8016.0,1344.0,2008-06-09,130000.0,2008,40.069522,-74.824196,9
111,3.0,1.0,0.04,8016.0,1176.0,2021-03-15,90000.0,2021,40.069522,-74.824196,9
113,2.0,1.0,0.04,8016.0,1531.0,2020-07-17,150000.0,2020,40.069522,-74.824196,9
114,3.0,3.0,0.16,8016.0,1967.0,2004-12-03,399938.0,2004,40.069522,-74.824196,9
115,3.0,3.0,0.17,8016.0,1561.0,2005-08-03,360000.0,2005,40.069522,-74.824196,9
116,6.0,2.0,0.03,8016.0,1500.0,2004-01-14,179000.0,2004,40.069522,-74.824196,9
117,3.0,1.0,0.03,8016.0,1592.0,2004-01-28,150000.0,2004,40.069522,-74.824196,9
118,3.0,3.0,0.22,8016.0,1596.0,2017-12-14,429000.0,2017,40.069522,-74.824196,9
119,3.0,2.0,0.56,8016.0,1250.0,2015-07-07,270000.0,2015,40.069522,-74.824196,9
120,1.0,1.0,0.69,8016.0,7762.0,1990-10-24,79900.0,1990,40.069522,-74.824196,9
121,2.0,1.0,0.05,8016.0,820.0,2017-06-12,100000.0,2017,40.069522,-74.824196,9
123,4.0,1.0,0.05,8016.0,1875.0,2022-03-10,129000.0,2022,40.069522,-74.824196,9
125,4.0,3.0,0.8,8016.0,3569.0,2002-06-07,649000.0,2002,40.069522,-74.824196,9
126,4.0,2.0,0.06,8016.0,1160.0,2020-08-13,122000.0,2020,40.069522,-74.824196,9
127,4.0,2.0,0.08,8016.0,1712.0,2013-12-04,100000.0,2013,40.069522,-74.824196,9
128,3.0,3.0,0.17,8016.0,2020.0,1994-03-07,249000.0,1994,40.069522,-74.824196,9
129,3.0,1.0,0.08,8016.0,1248.0,2015-03-13,224900.0,2015,40.069522,-74.824196,9
130,4.0,3.0,0.23,8016.0,3061.0,1999-03-08,599999.0,1999,40.069522,-74.824196,9
131,3.0,1.0,0.18,8016.0,1120.0,2000-04-12,79900.0,2000,40.069522,-74.824196,9
133,4.0,3.0,0.17,8016.0,2190.0,2004-10-23,360000.0,2004,40.069522,-74.824196,9
134,4.0,5.0,0.24,8016.0,3184.0,2000-11-15,525000.0,2000,40.069522,-74.824196,9
135,4.0,3.0,0.31,8016.0,2574.0,2016-05-25,509990.0,2016,40.069522,-74.824196,9
136,4.0,2.0,0.34,8016.0,1350.0,2016-10-17,279900.0,2016,40.069522,-74.824196,9
137,3.0,3.0,0.14,8016.0,1561.0,1997-12-18,369900.0,1997,40.069522,-74.824196,9
138,3.0,3.0,0.17,8016.0,1703.0,2006-05-26,400000.0,2006,40.069522,-74.824196,9
141,3.0,3.0,0.15,8016.0,1817.0,2016-09-08,399900.0,2016,40.069522,-74.824196,9
142,3.0,3.0,0.29,8016.0,1576.0,2006-01-12,345000.0,2006,40.069522,-74.824196,9
143,3.0,2.0,0.09,8016.0,1406.0,2018-10-09,190000.0,2018,40.069522,-74.824196,9
144,3.0,2.0,14.18,8016.0,1500.0,2008-10-28,185000.0,2008,40.069522,-74.824196,9
145,3.0,2.0,14.73,8016.0,1500.0,2001-07-16,150000.0,2001,40.069522,-74.824196,9
146,5.0,2.0,0.06,8016.0,2230.0,1973-11-05,170100.0,1973,40.069522,-74.824196,9
148,3.0,2.0,3.36,8016.0,1500.0,2016-06-08,159999.0,2016,40.069522,-74.824196,9
150,5.0,4.0,0.11,8016.0,4153.0,2004-09-28,700000.0,2004,40.069522,-74.824196,9
151,2.0,1.0,0.3,8016.0,1160.0,1992-06-15,249000.0,1992,40.069522,-74.824196,9
152,6.0,2.0,0.05,8016.0,2118.0,2019-10-19,149999.0,2019,40.069522,-74.824196,9
154,3.0,3.0,0.07,8016.0,1500.0,2021-09-24,370220.0,2021,40.069522,-74.824196,9
155,3.0,3.0,0.05,8016.0,1500.0,2021-09-24,354990.0,2021,40.069522,-74.824196,9
156,3.0,3.0,0.05,8016.0,1500.0,2021-09-24,351990.0,2021,40.069522,-74.824196,9
157,3.0,3.0,0.07,8016.0,1500.0,2021-09-24,339990.0,2021,40.069522,-74.824196,9
159,4.0,2.0,0.07,8016.0,1748.0,2011-05-16,159900.0,2011,40.069522,-74.824196,9
162,3.0,3.0,0.17,8016.0,1500.0,2016-09-22,327900.0,2016,40.069522,-74.824196,9
163,2.0,1.0,0.26,8016.0,1198.0,1993-10-22,250000.0,1993,40.069522,-74.824196,9
166,5.0,3.0,0.11,8016.0,2117.0,2021-08-05,144900.0,2021,40.069522,-74.824196,9
168,3.0,3.0,0.07,8016.0,1976.0,2020-06-25,349900.0,2020,40.069522,-74.824196,9
169,4.0,3.0,0.19,8016.0,2442.0,2018-09-27,499900.0,2018,40.069522,-74.824196,9
171,3.0,3.0,0.17,8016.0,2000.0,1991-02-21,415000.0,1991,40.069522,-74.824196,9
175,2.0,2.0,0.11,7001.0,1456.0,1987-05-20,339900.0,1987,40.582316,-74.271506,3
176,3.0,2.0,0.14,7001.0,1542.0,2022-01-27,305100.0,2022,40.582316,-74.271506,3
178,3.0,2.0,0.11,7001.0,1500.0,2016-12-21,479000.0,2016,40.582316,-74.271506,3
179,3.0,3.0,0.15,7001.0,1870.0,2002-12-17,325000.0,2002,40.582316,-74.271506,3
181,5.0,2.0,0.11,7001.0,1500.0,1999-03-10,449000.0,1999,40.582316,-74.271506,3
182,4.0,2.0,0.17,7001.0,1842.0,2015-11-23,440000.0,2015,40.582316,-74.271506,3
184,3.0,3.0,0.06,7001.0,1476.0,1990-02-28,399000.0,1990,40.582316,-74.271506,3
186,3.0,2.0,0.17,7001.0,7501.0,2021-11-01,340000.0,2021,40.582316,-74.271506,3
187,5.0,2.0,0.18,7001.0,1387.0,2020-12-22,484000.0,2020,40.582316,-74.271506,3
188,3.0,2.0,0.17,7001.0,1500.0,2019-05-28,425000.0,2019,40.582316,-74.271506,3
189,2.0,2.0,0.11,7001.0,1500.0,1999-01-19,240000.0,1999,40.582316,-74.271506,3
190,4.0,4.0,0.06,7001.0,2296.0,2017-04-21,525000.0,2017,40.582316,-74.271506,3
191,3.0,2.0,0.14,7001.0,1500.0,2019-05-07,329000.0,2019,40.582316,-74.271506,3
192,2.0,1.0,0.14,7001.0,720.0,2010-05-18,275000.0,2010,40.582316,-74.271506,3
193,2.0,2.0,0.11,7001.0,1500.0,2009-08-21,275000.0,2009,40.582316,-74.271506,3
194,4.0,1.0,0.11,7001.0,1500.0,2008-09-16,325000.0,2008,40.582316,-74.271506,3
195,3.0,1.0,0.17,7001.0,1008.0,2022-02-08,325000.0,2022,40.582316,-74.271506,3
198,5.0,4.0,0.34,7001.0,3182.0,2021-01-11,799900.0,2021,40.582316,-74.271506,3
201,3.0,2.0,0.11,7001.0,1500.0,2014-12-16,409000.0,2014,40.582316,-74.271506,3
202,5.0,2.0,0.17,7001.0,2635.0,1993-06-02,545000.0,1993,40.582316,-74.271506,3
