,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,prev_sold_year,latitude,longitude,county
42,for_sale,3.0,1.0,0.03,Burlington,New Jersey,8016.0,1270.0,2018-12-28,95000.0,2018.0,40.069522,-74.824196,9
43,for_sale,5.0,2.0,0.06,Burlington,New Jersey,8016.0,1626.0,2019-03-18,140000.0,2019.0,40.069522,-74.824196,9
44,for_sale,6.0,2.0,0.07,Burlington,New Jersey,8016.0,2722.0,2018-07-18,125000.0,2018.0,40.069522,-74.824196,9
45,for_sale,5.0,,0.05,Burlington,New Jersey,8016.0,2176.0,,219900.0,,40.069522,-74.824196,9
46,for_sale,3.0,1.0,0.04,Burlington,New Jersey,8016.0,960.0,2021-07-09,189000.0,2021.0,40.069522,-74.824196,9
47,for_sale,,,0.02,Burlington,New Jersey,8016.0,1490.0,2017-02-24,292900.0,2017.0,40.069522,-74.824196,9
48,for_sale,3.0,1.0,0.04,Burlington,New Jersey,8016.0,960.0,2021-07-09,184000.0,2021.0,40.069522,-74.824196,9
49,for_sale,2.0,1.0,0.05,Burlington,New Jersey,8016.0,1249.0,2006-08-08,189900.0,2006.0,40.069522,-74.824196,9
50,for_sale,3.0,3.0,0.07,Burlington,New Jersey,8016.0,1500.0,,375990.0,,40.069522,-74.824196,9
51,for_sale,4.0,2.0,0.11,Burlington,New Jersey,8016.0,1596.0,1999-04-12,220000.0,1999.0,40.069522,-74.824196,9
52,for_sale,3.0,3.0,0.12,Burlington,New Jersey,8016.0,1694.0,2017-03-06,389900.0,2017.0,40.069522,-74.824196,9
53,for_sale,3.0,3.0,0.07,Burlington,New Jersey,8016.0,1500.0,,372990.0,,40.069522,-74.824196,9
54,for_sale,3.0,3.0,0.07,Burlington,New Jersey,8016.0,1500.0,,371990.0,,40.069522,-74.824196,9
55,for_sale,3.0,3.0,0.07,Burlington,New Jersey,8016.0,1500.0,,377990.0,,40.069522,-74.824196,9
56,for_sale,3.0,2.0,0.09,Burlington,New Jersey,8016.0,,2020-11-28,102000.0,2020.0,40.069522,-74.824196,9
57,for_sale,4.0,2.0,0.05,Burlington,New Jersey,8016.0,1864.0,2001-06-12,150000.0,2001.0,40.069522,-74.824196,9
58,for_sale,3.0,1.0,0.11,Burlington,New Jersey,8016.0,1366.0,2018-12-20,230000.0,2018.0,40.069522,-74.824196,9
59,for_sale,3.0,1.0,0.03,Burlington,New Jersey,8016.0,1056.0,2010-10-19,130000.0,2010.0,40.069522,-74.824196,9
60,for_sale,2.0,1.0,0.09,Burlington,New Jersey,8016.0,969.0,2018-02-14,120000.0,2018.0,40.069522,-74.824196,9
61,for_sale,4.0,3.0,0.22,Burlington,New Jersey,8016.0,2532.0,2001-10-29,485000.0,2001.0,40.069522,-74.824196,9
62,for_sale,1.0,2.0,0.12,Burlington,New Jersey,8016.0,1750.0,2019-06-05,239500.0,2019.0,40.069522,-74.824196,9
63,for_sale,4.0,2.0,0.22,Burlington,New Jersey,8016.0,1085.0,2007-08-03,250000.0,2007.0,40.069522,-74.824196,9
64,for_sale,3.0,3.0,0.07,Burlington,New Jersey,8016.0,1500.0,,387990.0,,40.069522,-74.824196,9
65,for_sale,3.0,3.0,0.07,Burlington,New Jersey,8016.0,1500.0,,379990.0,,40.069522,-74.824196,9
66,for_sale,3.0,2.0,0.04,Burlington,New Jersey,8016.0,1618.0,2021-04-27,105000.0,2021.0,40.069522,-74.824196,9
67,for_sale,3.0,2.0,0.55,Burlington Township,New Jersey,8016.0,1560.0,2013-09-17,255000.0,2013.0,40.069522,-74.824196,9
68,for_sale,5.0,3.0,0.28,Burlington Township,New Jersey,8016.0,2468.0,2022-04-01,465000.0,2022.0,40.069522,-74.824196,9
69,for_sale,3.0,2.0,0.09,Burlington,New Jersey,8016.0,1244.0,2018-01-25,199900.0,2018.0,40.069522,-74.824196,9
70,for_sale,2.0,1.0,,Burlington,New Jersey,8016.0,976.0,2019-04-29,107000.0,2019.0,40.069522,-74.824196,9
71,for_sale,4.0,3.0,0.12,Burlington,New Jersey,8016.0,1913.0,2019-09-13,450000.0,2019.0,40.069522,-74.824196,9
72,for_sale,3.0,2.0,0.23,Burlington,New Jersey,8016.0,1790.0,2019-04-10,330000.0,2019.0,40.069522,-74.824196,9
73,for_sale,4.0,2.0,0.17,Burlington,New Jersey,8016.0,1740.0,2007-09-17,325000.0,2007.0,40.069522,-74.824196,9
74,for_sale,3.0,3.0,0.19,Burlington,New Jersey,8016.0,1467.0,1995-06-20,350000.0,1995.0,40.069522,-74.824196,9
75,for_sale,3.0,3.0,0.19,Burlington,New Jersey,8016.0,1365.0,1998-12-14,400000.0,1998.0,40.069522,-74.824196,9
76,for_sale,4.0,1.0,0.04,Burlington,New Jersey,8016.0,1848.0,2015-10-23,130000.0,2015.0,40.069522,-74.824196,9
77,for_sale,3.0,2.0,0.14,Burlington,New Jersey,8016.0,1694.0,,300000.0,,40.069522,-74.824196,9
78,for_sale,3.0,1.0,0.09,Burlington,New Jersey,8016.0,1376.0,2021-09-20,225000.0,2021.0,40.069522,-74.824196,9
79,for_sale,3.0,2.0,0.04,Burlington,New Jersey,8016.0,1448.0,2014-09-16,130000.0,2014.0,40.069522,-74.824196,9
80,for_sale,4.0,3.0,0.26,Burlington,New Jersey,8016.0,2118.0,,340000.0,,40.069522,-74.824196,9
81,for_sale,3.0,2.0,0.17,Burlington,New Jersey,8016.0,1480.0,2017-06-28,299900.0,2017.0,40.069522,-74.824196,9
82,for_sale,3.0,3.0,,Burlington,New Jersey,8016.0,1500.0,,381990.0,,40.069522,-74.824196,9
