,bed,bath,acre_lot,zip_code,house_size,price,prev_sold_year,latitude,longitude,county
109,3.0,2.0,4.06,6066.0,1152.0,74500.0,2010.0,41.837561,-72.45904,15.0
110,6.0,2.0,0.32,6066.0,2600.0,199900.0,2017.0,41.837561,-72.45904,15.0
111,4.0,3.0,0.16,6066.0,2055.0,229000.0,2006.0,41.837561,-72.45904,15.0
114,4.0,1.0,0.28,6066.0,1152.0,165000.0,2001.0,41.837561,-72.45904,15.0
116,5.0,5.0,0.26,6066.0,6890.0,275000.0,1994.0,41.837561,-72.45904,15.0
118,3.0,1.0,0.18,6066.0,1214.0,186829.0,2016.0,41.837561,-72.45904,15.0
119,4.0,2.0,0.31,6066.0,1576.0,193500.0,2012.0,41.837561,-72.45904,15.0
120,2.0,1.0,0.15,6066.0,744.0,149900.0,2003.0,41.837561,-72.45904,15.0
122,3.0,2.0,0.28,6066.0,1232.0,219900.0,2006.0,41.837561,-72.45904,15.0
123,4.0,3.0,1.09,6066.0,2713.0,424900.0,2017.0,41.837561,-72.45904,15.0
124,3.0,2.0,0.46,6066.0,1196.0,294900.0,2013.0,41.837561,-72.45904,15.0
125,3.0,3.0,1.02,6066.0,2358.0,625000.0,2021.0,41.837561,-72.45904,15.0
126,2.0,1.0,0.3,6066.0,1186.0,189900.0,2005.0,41.837561,-72.45904,15.0
128,3.0,1.0,0.56,6066.0,952.0,199900.0,2019.0,41.837561,-72.45904,15.0
130,1.0,1.0,0.11,6066.0,735.0,87500.0,2006.0,41.837561,-72.45904,15.0
131,3.0,2.0,5.19,6066.0,2248.0,295000.0,2016.0,41.837561,-72.45904,15.0
132,4.0,3.0,0.39,6066.0,1900.0,390000.0,2019.0,41.837561,-72.45904,15.0
133,4.0,2.0,0.28,6066.0,1754.0,265000.0,2003.0,41.837561,-72.45904,15.0
134,6.0,2.0,0.2,6066.0,2127.0,229900.0,2002.0,41.837561,-72.45904,15.0
135,3.0,1.0,0.27,6066.0,1152.0,197000.0,2018.0,41.837561,-72.45904,15.0
136,2.0,1.0,0.99,6066.0,1163.0,210000.0,2015.0,41.837561,-72.45904,15.0
137,4.0,4.0,0.37,6066.0,2365.0,295000.0,2008.0,41.837561,-72.45904,15.0
138,6.0,2.0,0.15,6066.0,3201.0,249900.0,2012.0,41.837561,-72.45904,15.0
142,3.0,3.0,0.11,6066.0,1303.0,264900.0,2016.0,41.837561,-72.45904,15.0
143,3.0,2.0,0.5,6066.0,1536.0,149900.0,2009.0,41.837561,-72.45904,15.0
144,4.0,2.0,0.48,6066.0,1042.0,165000.0,1991.0,41.837561,-72.45904,15.0
145,3.0,3.0,1.08,6066.0,3277.0,529900.0,2004.0,41.837561,-72.45904,15.0
146,6.0,3.0,0.47,6066.0,2588.0,259900.0,1987.0,41.837561,-72.45904,15.0
147,1.0,3.0,0.11,6066.0,1128.0,190000.0,2007.0,41.837561,-72.45904,15.0
148,4.0,3.0,0.69,6066.0,2217.0,354900.0,1993.0,41.837561,-72.45904,15.0
151,1.0,1.0,0.11,6066.0,564.0,60000.0,2003.0,41.837561,-72.45904,15.0
152,5.0,3.0,0.12,6066.0,1834.0,239900.0,2003.0,41.837561,-72.45904,15.0
153,5.0,3.0,0.57,6066.0,1428.0,260000.0,2020.0,41.837561,-72.45904,15.0
157,4.0,3.0,0.45,6066.0,1527.0,339900.0,2021.0,41.837561,-72.45904,15.0
158,3.0,1.0,0.2,6066.0,1392.0,218888.0,2008.0,41.837561,-72.45904,15.0
161,4.0,2.0,0.57,6066.0,1563.0,299900.0,2014.0,41.837561,-72.45904,15.0
162,4.0,3.0,0.78,6066.0,2102.0,399900.0,1992.0,41.837561,-72.45904,15.0
163,4.0,3.0,0.77,6066.0,2663.0,399000.0,2015.0,41.837561,-72.45904,15.0
166,2.0,2.0,0.11,6066.0,1198.0,182900.0,2010.0,41.837561,-72.45904,15.0
168,1.0,1.0,0.11,6066.0,793.0,89900.0,2020.0,41.837561,-72.45904,15.0
169,5.0,3.0,0.65,6066.0,1867.0,260000.0,2002.0,41.837561,-72.45904,15.0
170,4.0,2.0,1.45,6066.0,1772.0,274900.0,2018.0,41.837561,-72.45904,15.0
171,4.0,4.0,2.58,6066.0,3072.0,549900.0,2019.0,41.837561,-72.45904,15.0
172,3.0,1.0,0.32,6066.0,1132.0,199900.0,2003.0,41.837561,-72.45904,15.0
173,2.0,2.0,0.11,6066.0,910.0,109900.0,2016.0,41.837561,-72.45904,15.0
174,2.0,2.0,0.11,6066.0,1283.0,185000.0,2012.0,41.837561,-72.45904,15.0
175,3.0,3.0,0.43,6066.0,1471.0,279900.0,2016.0,41.837561,-72.45904,15.0
176,2.0,1.0,0.31,6066.0,1780.0,294900.0,2005.0,41.837561,-72.45904,15.0
179,2.0,2.0,0.11,6066.0,1087.0,140000.0,2012.0,41.837561,-72.45904,15.0
180,4.0,3.0,0.68,6066.0,2090.0,359900.0,2020.0,41.837561,-72.45904,15.0
181,2.0,2.0,0.11,6066.0,1100.0,119900.0,2017.0,41.837561,-72.45904,15.0
187,6.0,2.0,0.24,6066.0,2355.0,225000.0,2009.0,41.837561,-72.45904,15.0
188,3.0,3.0,0.92,6066.0,1872.0,369900.0,2000.0,41.837561,-72.45904,15.0
189,3.0,2.0,0.33,6066.0,1152.0,29900.0,2021.0,41.837561,-72.45904,15.0
200,2.0,2.0,0.11,6066.0,1063.0,144900.0,2014.0,41.837561,-72.45904,15.0
201,3.0,2.0,0.26,6066.0,1302.0,139900.0,2016.0,41.837561,-72.45904,15.0
203,3.0,2.0,0.51,6040.0,1828.0,349900.0,2000.0,41.761415,-72.525608,12.0
208,6.0,3.0,0.28,6040.0,2624.0,249900.0,1989.0,41.761415,-72.525608,12.0
221,3.0,3.0,0.48,6040.0,2289.0,459900.0,2005.0,41.761415,-72.525608,12.0
222,4.0,3.0,1.28,6040.0,2147.0,390000.0,2018.0,41.761415,-72.525608,12.0
223,4.0,3.0,0.47,6040.0,2600.0,449900.0,2006.0,41.761415,-72.525608,12.0
224,2.0,1.0,0.11,6040.0,784.0,90000.0,2006.0,41.761415,-72.525608,12.0
227,3.0,2.0,0.16,6040.0,998.0,199900.0,2017.0,41.761415,-72.525608,12.0
228,4.0,4.0,0.15,6040.0,2170.0,349900.0,2009.0,41.761415,-72.525608,12.0
229,3.0,2.0,0.49,6040.0,1374.0,173000.0,2001.0,41.761415,-72.525608,12.0
230,4.0,1.0,0.21,6040.0,1116.0,195000.0,2009.0,41.761415,-72.525608,12.0
231,3.0,2.0,0.17,6040.0,1775.0,194900.0,2012.0,41.761415,-72.525608,12.0
232,4.0,4.0,0.6,6040.0,3040.0,499000.0,2016.0,41.761415,-72.525608,12.0
234,5.0,3.0,0.1,6040.0,1874.0,270000.0,2006.0,41.761415,-72.525608,12.0
235,4.0,2.0,0.12,6040.0,2338.0,269900.0,2008.0,41.761415,-72.525608,12.0
237,3.0,2.0,0.36,6040.0,1388.0,269900.0,2012.0,41.761415,-72.525608,12.0
240,6.0,3.0,0.2,6040.0,2274.0,139900.0,1997.0,41.761415,-72.525608,12.0
242,4.0,3.0,0.26,6040.0,2461.0,319900.0,2016.0,41.761415,-72.525608,12.0
244,2.0,1.0,0.14,6040.0,1030.0,209900.0,2008.0,41.761415,-72.525608,12.0
245,6.0,2.0,0.23,6040.0,1700.0,279900.0,2000.0,41.761415,-72.525608,12.0
247,3.0,2.0,0.46,6040.0,2118.0,349900.0,2016.0,41.761415,-72.525608,12.0
250,6.0,4.0,0.16,6040.0,2052.0,282900.0,2006.0,41.761415,-72.525608,12.0
252,3.0,3.0,0.17,6040.0,1968.0,249900.0,2017.0,41.761415,-72.525608,12.0
253,3.0,2.0,0.26,6040.0,1211.0,204900.0,2004.0,41.761415,-72.525608,12.0
254,3.0,2.0,0.14,6040.0,4662.0,379900.0,2007.0,41.761415,-72.525608,12.0
255,3.0,3.0,0.51,6040.0,2152.0,389900.0,2021.0,41.761415,-72.525608,12.0
256,3.0,3.0,0.48,6040.0,2260.0,485000.0,2007.0,41.761415,-72.525608,12.0
257,3.0,2.0,0.19,6040.0,1197.0,229900.0,2014.0,41.761415,-72.525608,12.0
259,3.0,3.0,0.21,6040.0,1572.0,300000.0,2014.0,41.761415,-72.525608,12.0
260,4.0,2.0,0.17,6040.0,1584.0,250000.0,2011.0,41.761415,-72.525608,12.0
262,3.0,2.0,0.1,6040.0,1178.0,199900.0,2020.0,41.761415,-72.525608,12.0
263,4.0,2.0,0.19,6040.0,1080.0,115000.0,1999.0,41.761415,-72.525608,12.0
264,3.0,2.0,0.11,6040.0,1793.0,319900.0,2007.0,41.761415,-72.525608,12.0
265,3.0,2.0,0.52,6040.0,1416.0,264900.0,2021.0,41.761415,-72.525608,12.0
266,3.0,1.0,0.17,6040.0,1350.0,169000.0,2001.0,41.761415,-72.525608,12.0
269,3.0,1.0,0.25,6040.0,1152.0,224900.0,2007.0,41.761415,-72.525608,12.0
270,3.0,3.0,0.7,6040.0,1930.0,399900.0,2018.0,41.761415,-72.525608,12.0
271,5.0,1.0,0.15,6040.0,1948.0,199900.0,2000.0,41.761415,-72.525608,12.0
273,3.0,2.0,0.17,6040.0,1521.0,209900.0,2005.0,41.761415,-72.525608,12.0
274,7.0,3.0,0.52,6040.0,3025.0,365000.0,2014.0,41.761415,-72.525608,12.0
276,4.0,3.0,0.52,6040.0,3263.0,369000.0,2015.0,41.761415,-72.525608,12.0
