,bed,bath,acre_lot,zip_code,house_size,price,prev_sold_year,latitude,longitude,county
85,3.0,3.0,0.27,8016.0,2208.0,410000.0,1994.0,40.069522,-74.824196,11.0
86,3.0,1.0,0.11,8016.0,1308.0,245000.0,2018.0,40.069522,-74.824196,11.0
87,3.0,2.0,0.09,8016.0,1248.0,230000.0,2014.0,40.069522,-74.824196,11.0
88,4.0,3.0,0.29,8016.0,2085.0,451000.0,2000.0,40.069522,-74.824196,11.0
89,3.0,3.0,0.06,8016.0,1980.0,349900.0,1995.0,40.069522,-74.824196,11.0
91,3.0,4.0,0.11,8016.0,1886.0,305000.0,2019.0,40.069522,-74.824196,11.0
92,3.0,1.0,0.03,8016.0,1269.0,107000.0,1992.0,40.069522,-74.824196,11.0
93,3.0,2.0,0.19,8016.0,1842.0,299900.0,1999.0,40.069522,-74.824196,11.0
94,3.0,2.0,0.81,8016.0,1554.0,299000.0,2018.0,40.069522,-74.824196,11.0
96,4.0,1.0,0.23,8016.0,1685.0,249900.0,2007.0,40.069522,-74.824196,11.0
97,4.0,3.0,0.22,8016.0,2096.0,475000.0,2004.0,40.069522,-74.824196,11.0
98,4.0,3.0,0.19,8016.0,2380.0,450000.0,2019.0,40.069522,-74.824196,11.0
99,4.0,3.0,0.13,8016.0,1840.0,328000.0,2019.0,40.069522,-74.824196,11.0
100,4.0,1.0,0.28,8016.0,1176.0,149900.0,2018.0,40.069522,-74.824196,11.0
101,4.0,1.0,0.1,8016.0,1291.0,199000.0,2021.0,40.069522,-74.824196,11.0
102,3.0,1.0,0.08,8016.0,1412.0,265000.0,2021.0,40.069522,-74.824196,11.0
103,3.0,2.0,0.13,8016.0,1286.0,375000.0,1995.0,40.069522,-74.824196,11.0
105,3.0,2.0,0.22,8016.0,1198.0,250000.0,2005.0,40.069522,-74.824196,11.0
106,5.0,2.0,0.04,8016.0,1694.0,199900.0,2021.0,40.069522,-74.824196,11.0
107,3.0,3.0,0.35,8016.0,2268.0,400000.0,2013.0,40.069522,-74.824196,11.0
108,4.0,1.0,0.03,8016.0,1726.0,70000.0,2016.0,40.069522,-74.824196,11.0
109,2.0,1.0,0.04,8016.0,1120.0,120000.0,2007.0,40.069522,-74.824196,11.0
110,3.0,1.0,0.07,8016.0,1344.0,130000.0,2008.0,40.069522,-74.824196,11.0
111,3.0,1.0,0.04,8016.0,1176.0,90000.0,2021.0,40.069522,-74.824196,11.0
113,2.0,1.0,0.04,8016.0,1531.0,150000.0,2020.0,40.069522,-74.824196,11.0
114,3.0,3.0,0.16,8016.0,1967.0,399938.0,2004.0,40.069522,-74.824196,11.0
115,3.0,3.0,0.17,8016.0,1561.0,360000.0,2005.0,40.069522,-74.824196,11.0
116,6.0,2.0,0.03,8016.0,1500.0,179000.0,2004.0,40.069522,-74.824196,11.0
117,3.0,1.0,0.03,8016.0,1592.0,150000.0,2004.0,40.069522,-74.824196,11.0
118,3.0,3.0,0.22,8016.0,1596.0,429000.0,2017.0,40.069522,-74.824196,11.0
119,3.0,2.0,0.56,8016.0,1250.0,270000.0,2015.0,40.069522,-74.824196,11.0
120,1.0,1.0,0.69,8016.0,7762.0,79900.0,1990.0,40.069522,-74.824196,11.0
121,2.0,1.0,0.05,8016.0,820.0,100000.0,2017.0,40.069522,-74.824196,11.0
123,4.0,1.0,0.05,8016.0,1875.0,129000.0,2022.0,40.069522,-74.824196,11.0
125,4.0,3.0,0.8,8016.0,3569.0,649000.0,2002.0,40.069522,-74.824196,11.0
126,4.0,2.0,0.06,8016.0,1160.0,122000.0,2020.0,40.069522,-74.824196,11.0
127,4.0,2.0,0.08,8016.0,1712.0,100000.0,2013.0,40.069522,-74.824196,11.0
128,3.0,3.0,0.17,8016.0,2020.0,249000.0,1994.0,40.069522,-74.824196,11.0
129,3.0,1.0,0.08,8016.0,1248.0,224900.0,2015.0,40.069522,-74.824196,11.0
130,4.0,3.0,0.23,8016.0,3061.0,599999.0,1999.0,40.069522,-74.824196,11.0
131,3.0,1.0,0.18,8016.0,1120.0,79900.0,2000.0,40.069522,-74.824196,11.0
133,4.0,3.0,0.17,8016.0,2190.0,360000.0,2004.0,40.069522,-74.824196,11.0
134,4.0,5.0,0.24,8016.0,3184.0,525000.0,2000.0,40.069522,-74.824196,11.0
135,4.0,3.0,0.31,8016.0,2574.0,509990.0,2016.0,40.069522,-74.824196,11.0
136,4.0,2.0,0.34,8016.0,1350.0,279900.0,2016.0,40.069522,-74.824196,11.0
137,3.0,3.0,0.14,8016.0,1561.0,369900.0,1997.0,40.069522,-74.824196,11.0
138,3.0,3.0,0.17,8016.0,1703.0,400000.0,2006.0,40.069522,-74.824196,11.0
141,3.0,3.0,0.15,8016.0,1817.0,399900.0,2016.0,40.069522,-74.824196,11.0
142,3.0,3.0,0.29,8016.0,1576.0,345000.0,2006.0,40.069522,-74.824196,11.0
143,3.0,2.0,0.09,8016.0,1406.0,190000.0,2018.0,40.069522,-74.824196,11.0
144,3.0,2.0,14.18,8016.0,1500.0,185000.0,2008.0,40.069522,-74.824196,11.0
145,3.0,2.0,14.73,8016.0,1500.0,150000.0,2001.0,40.069522,-74.824196,11.0
148,3.0,2.0,3.36,8016.0,1500.0,159999.0,2016.0,40.069522,-74.824196,11.0
150,5.0,4.0,0.11,8016.0,4153.0,700000.0,2004.0,40.069522,-74.824196,11.0
151,2.0,1.0,0.3,8016.0,1160.0,249000.0,1992.0,40.069522,-74.824196,11.0
152,6.0,2.0,0.05,8016.0,2118.0,149999.0,2019.0,40.069522,-74.824196,11.0
154,3.0,3.0,0.07,8016.0,1500.0,370220.0,2021.0,40.069522,-74.824196,11.0
155,3.0,3.0,0.05,8016.0,1500.0,354990.0,2021.0,40.069522,-74.824196,11.0
156,3.0,3.0,0.05,8016.0,1500.0,351990.0,2021.0,40.069522,-74.824196,11.0
157,3.0,3.0,0.07,8016.0,1500.0,339990.0,2021.0,40.069522,-74.824196,11.0
159,4.0,2.0,0.07,8016.0,1748.0,159900.0,2011.0,40.069522,-74.824196,11.0
162,3.0,3.0,0.17,8016.0,1500.0,327900.0,2016.0,40.069522,-74.824196,11.0
163,2.0,1.0,0.26,8016.0,1198.0,250000.0,1993.0,40.069522,-74.824196,11.0
166,5.0,3.0,0.11,8016.0,2117.0,144900.0,2021.0,40.069522,-74.824196,11.0
168,3.0,3.0,0.07,8016.0,1976.0,349900.0,2020.0,40.069522,-74.824196,11.0
169,4.0,3.0,0.19,8016.0,2442.0,499900.0,2018.0,40.069522,-74.824196,11.0
171,3.0,3.0,0.17,8016.0,2000.0,415000.0,1991.0,40.069522,-74.824196,11.0
175,2.0,2.0,0.11,7001.0,1456.0,339900.0,1987.0,40.582316,-74.271506,3.0
176,3.0,2.0,0.14,7001.0,1542.0,305100.0,2022.0,40.582316,-74.271506,3.0
178,3.0,2.0,0.11,7001.0,1500.0,479000.0,2016.0,40.582316,-74.271506,3.0
179,3.0,3.0,0.15,7001.0,1870.0,325000.0,2002.0,40.582316,-74.271506,3.0
181,5.0,2.0,0.11,7001.0,1500.0,449000.0,1999.0,40.582316,-74.271506,3.0
